FID,count,lon,lat,LOCTYPE
132,1,-0.135645,51.513048,Cholera death(s)
133,1,-0.135602,51.513006,Cholera death(s)
134,1,-0.135501,51.512883,Cholera death(s)
135,1,-0.135832,51.51327,Cholera death(s)
136,3,-0.136049,51.513459,Cholera death(s)
137,3,-0.13614,51.513431,Cholera death(s)
138,3,-0.136228,51.513402,Cholera death(s)
139,3,-0.134999,51.512593,Cholera death(s)
140,1,-0.134793,51.512585,Cholera death(s)
141,2,-0.134896,51.512555,Cholera death(s)
142,1,-0.135,51.512521,Cholera death(s)
143,1,-0.133483,51.513137,Cholera death(s)
144,1,-0.133265,51.513228,Cholera death(s)
145,2,-0.133296,51.513152,Cholera death(s)
146,1,-0.132933,51.513258,Cholera death(s)
147,1,-0.133998,51.513544,Cholera death(s)
148,1,-0.134042,51.513626,Cholera death(s)
149,2,-0.134156,51.513637,Cholera death(s)
150,2,-0.134091,51.513524,Cholera death(s)
151,1,-0.134272,51.51382,Cholera death(s)
152,1,-0.13422,51.513724,Cholera death(s)
153,1,-0.134704,51.513704,Cholera death(s)
154,1,-0.134782,51.513831,Cholera death(s)
155,1,-0.13501,51.513915,Cholera death(s)
156,1,-0.134923,51.513597,Cholera death(s)
157,1,-0.134885,51.514032,Cholera death(s)
158,5,-0.134212,51.513891,Cholera death(s)
159,1,-0.134135,51.513758,Cholera death(s)
160,1,-0.134364,51.514065,Cholera death(s)
161,2,-0.134447,51.514146,Cholera death(s)
162,2,-0.134479,51.514201,Cholera death(s)
163,1,-0.134658,51.51423,Cholera death(s)
164,1,-0.134367,51.514319,Cholera death(s)
165,1,-0.134179,51.514377,Cholera death(s)
166,1,-0.13416,51.514357,Cholera death(s)
167,2,-0.134069,51.514382,Cholera death(s)
168,2,-0.134085,51.514402,Cholera death(s)
169,5,-0.133821,51.514522,Cholera death(s)
170,1,-0.133922,51.514497,Cholera death(s)
171,1,-0.13385,51.514472,Cholera death(s)
172,1,-0.133725,51.514504,Cholera death(s)
173,1,-0.133745,51.514546,Cholera death(s)
174,4,-0.133676,51.514561,Cholera death(s)
175,1,-0.133563,51.514594,Cholera death(s)
176,2,-0.133467,51.514581,Cholera death(s)
177,1,-0.133393,51.514606,Cholera death(s)
178,1,-0.134474,51.515834,Cholera death(s)
179,1,-0.135259,51.515195,Cholera death(s)
180,1,-0.135395,51.515149,Cholera death(s)
181,1,-0.136022,51.514818,Cholera death(s)
182,3,-0.136804,51.514843,Cholera death(s)
183,1,-0.136583,51.514914,Cholera death(s)
184,1,-0.135653,51.514496,Cholera death(s)
185,2,-0.135578,51.514743,Cholera death(s)
186,1,-0.13486,51.514467,Cholera death(s)
187,1,-0.13469,51.514453,Cholera death(s)
188,1,-0.134818,51.514845,Cholera death(s)
189,1,-0.135704,51.514389,Cholera death(s)
190,1,-0.135561,51.514399,Cholera death(s)
191,2,-0.135649,51.514335,Cholera death(s)
192,1,-0.135415,51.514224,Cholera death(s)
193,1,-0.135576,51.51422,Cholera death(s)
194,2,-0.135357,51.514145,Cholera death(s)
195,3,-0.135475,51.514108,Cholera death(s)
196,2,-0.136226,51.514359,Cholera death(s)
197,1,-0.136328,51.514326,Cholera death(s)
198,1,-0.136222,51.514544,Cholera death(s)
199,1,-0.136117,51.514569,Cholera death(s)
200,1,-0.13603,51.514586,Cholera death(s)
201,1,-0.136266,51.514612,Cholera death(s)
202,2,-0.136421,51.514575,Cholera death(s)
203,3,-0.136935,51.514507,Cholera death(s)
204,3,-0.136931,51.514274,Cholera death(s)
205,1,-0.136799,51.514293,Cholera death(s)
206,1,-0.13678,51.514058,Cholera death(s)
207,3,-0.136696,51.514148,Cholera death(s)
208,1,-0.136712,51.513961,Cholera death(s)
209,1,-0.136123,51.514027,Cholera death(s)
210,1,-0.135958,51.514076,Cholera death(s)
211,1,-0.135883,51.514096,Cholera death(s)
212,2,-0.135788,51.514134,Cholera death(s)
213,2,-0.135849,51.514033,Cholera death(s)
214,4,-0.136008,51.513996,Cholera death(s)
215,5,-0.136099,51.51396,Cholera death(s)
216,2,-0.13617,51.513945,Cholera death(s)
217,5,-0.135485,51.513821,Cholera death(s)
218,5,-0.135374,51.513999,Cholera death(s)
219,3,-0.135582,51.513795,Cholera death(s)
220,3,-0.135679,51.513766,Cholera death(s)
221,1,-0.135814,51.513726,Cholera death(s)
222,5,-0.135905,51.513692,Cholera death(s)
223,4,-0.135992,51.513672,Cholera death(s)
224,4,-0.136217,51.513603,Cholera death(s)
225,1,-0.136579,51.513482,Cholera death(s)
226,4,-0.136675,51.513458,Cholera death(s)
227,1,-0.136764,51.513429,Cholera death(s)
228,3,-0.136877,51.513404,Cholera death(s)
229,2,-0.136953,51.513359,Cholera death(s)
230,1,-0.13723,51.513378,Cholera death(s)
231,2,-0.136651,51.513855,Cholera death(s)
232,1,-0.136503,51.513875,Cholera death(s)
233,1,-0.137367,51.513565,Cholera death(s)
234,2,-0.137422,51.513616,Cholera death(s)
235,3,-0.137472,51.513742,Cholera death(s)
236,1,-0.1383,51.513918,Cholera death(s)
237,1,-0.137363,51.513772,Cholera death(s)
238,4,-0.137995,51.513502,Cholera death(s)
239,2,-0.138139,51.513712,Cholera death(s)
240,2,-0.138239,51.513644,Cholera death(s)
241,1,-0.138272,51.513711,Cholera death(s)
242,5,-0.138083,51.514061,Cholera death(s)
243,3,-0.137912,51.514748,Cholera death(s)
244,2,-0.137707,51.514794,Cholera death(s)
245,3,-0.137108,51.514526,Cholera death(s)
246,2,-0.137065,51.514706,Cholera death(s)
247,1,-0.138474,51.512311,Cholera death(s)
248,1,-0.138123,51.511998,Cholera death(s)
249,1,-0.137762,51.511856,Cholera death(s)
250,-999,-0.136668,51.513341,Water pumps
251,-999,-0.139586,51.513876,Water pumps
252,-999,-0.139671,51.514906,Water pumps
253,-999,-0.13163,51.512354,Water pumps
254,-999,-0.133594,51.512139,Water pumps
255,-999,-0.135919,51.511542,Water pumps
256,-999,-0.133962,51.510019,Water pumps
257,-999,-0.138199,51.511295,Water pumps
